Time,Marcador 1/0/X,Marcador 1/0/Y,Marcador 2/0/X,Marcador 2/0/Y,Marcador 3/0/X,Marcador 3/0/Y,Marcador 4/0/X,Marcador 4/0/Y
"0,734","0,05902483","0,23126","0,00480397","0,01327774","0,2393597","-0,0753839","-0,07609976","-0,407865"
"0,767","0,0601331","0,2305156","0,00258743","0,01660255","0,2415763","-0,0598681","-0,07277495","-0,3923492"
"0,801","0,06087758","0,2312601","0,0003708891","0,01881908","0,2434121","-0,04509681","-0,06945014","-0,3779417"
"0,834","0,06049689","0,23126","-0,001845652","0,0221439","0,2433952","-0,0314337","-0,0672336","-0,3624259"
"0,867","0,05975244","0,2312601","-0,002953922","0,02436043","0,2437422","-0,01777074","-0,06390879","-0,3469101"
"0,901","0,05975244","0,2305156","-0,004062193","0,02657698","0,2441059","-0,003363222","-0,06169225","-0,3325026"
"0,934","0,05900795","0,2305156","-0,002953922","0,02879351","0,2440892","0,01029986","-0,0561509","-0,3169868"
"0,967","0,05862726","0,2312601","-0,002953922","0,02990179","0,2455611","0,02470738","-0,05393436","-0,3025793"
"1,001","0,05750214","0,2316407","-0,001845652","0,02990179","0,247397","0,03577317","-0,05060955","-0,2881718"
"1,034","0,06158828","0,2301518","0,0003708891","0,03101006","0,2492329","0,04720283","-0,04950128","-0,2748725"
"1,067","0,06307725","0,2305156","0,00258743","0,03101006","0,2495799","0,05977443","-0,04506819","-0,2626816"
